Variant	Population	Year
Starting population	1688838	2001
Starting population	1697534	2002
Starting population	1704924	2003
Starting population	1714042	2004
Starting population	1727733	2005
Starting population	1743113	2006
Starting population	1761683	2007
Starting population	1779152	2008
Starting population	1793333	2009
Starting population	1804833	2010
Starting population	1814318	2011
Starting population	1823634	2012
Starting population	1829725	2013
Starting population	1840498	2014
Starting population	1851621	2015
Starting population	1862137	2016
